###### NEW LOG SESSION ######
Epoch,Epsilon,Score,Steps,Position,Velocity,
0,0.670051613737823,-183.80810178565525,200,-0.5776770744603505,0.005273236568645732,
1,0.4489691650726603,-172.1344744553382,200,-0.584388317211108,0.013340201249150968,
2,0.3008325135754587,-172.02166166804952,200,-0.609525947496288,0.007045857783482976,
3,0.20157331118604155,-170.32154119738072,200,-0.4199718046549161,0.014774604329930732,
4,0.13506452244668335,-164.35157991464854,200,-0.30329955358442,-0.003160406162816514,
5,0.09050020122412858,-164.76887192977566,200,-0.39150490607309807,0.004260635820340804,
6,0.06063980587382501,-162.33231490854823,200,-0.47376197090606115,-0.008293070692183097,
7,0.04063179978250474,-162.49315964667844,200,-0.6215174986719267,-0.00898254111549252,
8,0.0272254030133394,-158.1078404820413,200,-0.19486375976019144,-0.003821776162777418,
9,0.018242425223750657,-159.28541068614163,200,-0.3281199045379756,0.002334382136750584,
10,0.01222336645966569,-152.832938198563,200,-0.11405008736264537,-0.002470386881152712,
11,0.01,-158.07232090447542,200,-0.36659956729612614,-0.0058435934657082725,
12,0.01,-171.18401501346352,200,-0.359708287289237,0.019286682104400966,
13,0.01,-147.2049040983704,200,0.003736495224305022,-0.015803200261080806,
14,0.01,-146.04444946634422,200,-0.34337361523798104,-0.03211107693563345,
15,0.01,-160.56296894950717,200,-0.645812815414335,-0.014088402601137483,
16,0.01,-155.39394276148684,200,-0.3208238209982799,-0.018923131137540773,
17,0.01,-150.35707484766712,200,-0.7228052750583831,0.017678885711173032,
18,0.01,-141.6159663772047,200,0.19929951919618774,0.005352546037719958,
19,0.01,-159.37462325253497,200,-0.2098718303433029,-0.005846473633857709,
20,0.01,-156.62499106311682,200,-0.29371326199056613,-0.01163438437909996,
21,0.01,-159.23640948174403,200,-0.45020404679671105,-0.010122663484090725,
22,0.01,-160.91422659291263,200,-0.3840579412919114,-0.010308233377234183,
23,0.01,-163.57047559407843,200,-0.4709410515087013,0.004737239142361223,
24,0.01,-160.50710335721163,200,-0.38947668028265403,0.001487566809543447,
25,0.01,-168.5493581943016,200,-0.3153637053725881,-0.011835036271877025,
26,0.01,-160.89266670907156,200,-0.37846397329120735,0.003959710699313515,
27,0.01,-159.23726925931888,200,-0.2759961911315111,-0.002210519589752066,
28,0.01,-160.6484061100943,200,-0.3229587876916734,-0.0042368215038756755,
29,0.01,-164.37134401687973,200,-0.4285027786692268,0.009467625783076711,
30,0.01,-159.3152506858726,200,-0.307336930235147,-0.0021429219012681624,
31,0.01,-160.3726058996921,200,-0.33920512050447577,0.00017699868128680306,
32,0.01,-163.90721535864608,200,-0.5849043683734533,0.01208354028380543,
33,0.01,-161.43893455690772,200,-0.4600479242136755,0.000828289343121496,
34,0.01,-163.43386271244128,200,-0.29289077429097854,0.007402624456957154,
35,0.01,-161.07794146127864,200,-0.3193345763970619,-0.011778178420564223,
36,0.01,-161.86451882868172,200,-0.46345423410601766,0.003497637776969366,
37,0.01,-158.29759602594825,200,-0.2869740657978183,-0.0035569233323361816,
38,0.01,-163.98540667797923,200,-0.8967927774702528,0.027361830887554933,
39,0.01,-170.93807386802098,200,-0.38148444895676775,-0.0007012256596604892,
40,0.01,-164.64797780661937,200,-0.03625039674417885,0.0007627949464726461,
41,0.01,-134.99164531372833,193,0.5018428238552629,0.018325437366026733,
42,0.01,-148.72818262984933,200,0.24235655197332343,0.027126537412587536,
43,0.01,-144.63776383966453,200,0.39170671172707205,0.014588587863845781,
44,0.01,-163.55149799049735,200,-0.3855354884514809,0.006340303658778019,
45,0.01,-159.2475591027236,200,-0.3487952381817944,-0.005056657011991339,
46,0.01,-163.01698578644542,200,-0.5260753750036893,0.016564002924084477,
47,0.01,-126.79266711881601,179,0.5109366651710419,0.0192974421113044,
48,0.01,-122.40124191397088,200,-1.0113522228992506,-0.0027746697206199947,
49,0.01,-163.50933568148847,200,-0.5924007757245805,-0.017380517432122072,
50,0.01,-146.12297698579277,200,-0.09765824032876474,-0.032010972726619825,
51,0.01,-144.8229541432066,200,-0.27093224292421514,-0.03623086728703507,
52,0.01,-165.5916995301149,200,-0.3854099020044901,0.022891479381204546,
53,0.01,-141.82238113262648,200,0.47401860277131563,0.04122229811560784,
54,0.01,-164.1181445502256,200,-0.7717125453708987,-0.013599416464218951,
55,0.01,-155.01989782365317,200,0.008855743479532226,0.03863313149086097,
56,0.01,-128.3082031757158,194,0.5152992404967713,0.029213251428079148,
57,0.01,-133.1053796007938,200,0.1952503277090654,-0.009294796228632256,
58,0.01,-152.81965539766293,200,-1.0015728061488083,-0.008265663471573365,
59,0.01,-143.72061247625743,200,-0.49772280291599924,0.04674669744720131,
60,0.01,-147.5208595523081,200,-0.5993661625808343,0.0523485245554812,
61,0.01,-137.25569586157846,200,-1.0961578540065164,0.019530944266033957,
62,0.01,-88.80160880517936,140,0.5105897026699596,0.01702003802268671,
63,0.01,-122.79550018697594,177,0.5350519968286485,0.03924013482017329,
64,0.01,-82.7560031173035,122,0.5067017503259159,0.028765393857041452,
65,0.01,-82.46235147618425,142,0.5079210372797237,0.011467867036720055,
66,0.01,-134.02169671445066,186,0.5159089460419347,0.04492387989453014,
67,0.01,-120.18173792144631,200,0.10202729680449922,0.05259751571399637,
68,0.01,-165.02908376456375,200,-0.44343011708288405,0.02010365425577431,
69,0.01,-125.65642426292901,182,0.5012204602162156,0.047522267198734085,
70,0.01,-90.62812883240962,136,0.5142198021928431,0.03750185223316513,
71,0.01,-90.10268014591215,132,0.5122501152880733,0.021586067213021566,
72,0.01,-91.98919069641927,145,0.5104412494288972,0.015985906419794645,
73,0.01,-130.37042207790637,195,0.5064074119872037,0.04659390745732113,
74,0.01,-102.05829739325463,146,0.5001568621432544,0.03810131269016931,
75,0.01,-163.44621491576163,200,-0.8683083989776057,0.01596283151314285,
