###### NEW LOG SESSION ######
Epoch,Epsilon,Score,Steps,Position,Velocity,
0,0.670051613737823,-184.9752268529706,200,-0.541868636835897,0.006861756824367004,
1,0.4489691650726603,-173.52772805773716,200,-0.4773691748857766,0.014930347974001813,
2,0.3008325135754587,-171.4793932717824,200,-0.5443918671425761,0.011421865285891803,
3,0.20157331118604155,-165.0020864015874,200,-0.3762767318152452,-0.014274807545025517,
4,0.13506452244668335,-168.07748919327432,200,-0.3040903584047399,-0.0026156349102879886,
5,0.09050020122412858,-167.4879676937686,200,-0.5228227204869403,0.00354924429840504,
6,0.06063980587382501,-161.82457551044962,200,-0.9384330008481029,-0.00268347131333434,
7,0.04063179978250474,-140.89536311228784,200,0.16044407561062637,-0.006547332386345205,
8,0.0272254030133394,-159.97793487696532,200,-0.06102779154170005,-0.00264400531570686,
9,0.018242425223750657,-150.6209923595389,200,-0.5616043993091449,-0.028354638453805776,
10,0.01222336645966569,-148.360559975192,200,0.3369118427105553,0.012382684039536225,
11,0.01,-165.55139501818334,200,-0.1465487346408131,0.019126361570921964,
12,0.01,-162.2828406684545,200,-0.2922986608694986,0.0019611659825124112,
13,0.01,-164.8703689455747,200,-0.232996296231265,0.0039671616356496756,
14,0.01,-159.4810349497236,200,-0.40507988427130215,-0.010649130595516369,
15,0.01,-170.7799953789631,200,-0.3428848879532127,0.0017488402382902033,
16,0.01,-167.41296525743135,200,-0.2712461147607291,0.009238489411282936,
17,0.01,-164.1164444369375,200,-0.3505513129007047,0.010629008782134795,
18,0.01,-157.66835539491157,200,-0.3268965182311144,-0.006612268128028733,
19,0.01,-164.66562052645847,200,-0.686479060235654,-0.011055931083818159,
20,0.01,-125.68019754843269,200,0.2932285504486927,-0.0061320933912633975,
21,0.01,-150.81121260629922,200,-0.1080950160952789,0.01443933575136226,
22,0.01,-164.76855825056697,200,-0.40033942727582844,0.014401265453182474,
23,0.01,-144.06554532499547,200,-1.04546417524355,-0.000363015148221053,
24,0.01,-158.19641635270457,200,-0.5913441543707629,0.04230391383269523,
25,0.01,-160.8926094062807,200,-0.888986788613111,-0.02342538604021123,
26,0.01,-143.57268158945664,200,-0.05907812631840205,-0.015527139363489468,
27,0.01,-145.89731795222778,200,-0.46769597784841543,0.05408219633571441,
28,0.01,-162.3210597084608,200,-0.5110357700941747,-0.005086171253381465,
29,0.01,-148.89764375695282,200,-0.09806792441914568,0.03759630554248171,
30,0.01,-162.88971481046997,200,-0.22685369904157687,-0.0011912992748745635,
31,0.01,-154.47367832309718,200,-0.7260166721342328,0.013965876416930841,
32,0.01,-142.71183697776357,200,0.23847399686090381,0.02705543150384836,
33,0.01,-134.194230554672,200,0.2695466178712358,0.015604990473743894,
34,0.01,-163.32102184701915,200,-0.2618497682375834,0.014756564774321586,
35,0.01,-84.0421478457199,132,0.5384653357358496,0.038480454583824215,
36,0.01,-166.3969829174484,200,-0.22619244340226338,0.0023685850178018185,
37,0.01,-169.78342480027973,200,-0.4880383759085163,0.018783573505541183,
38,0.01,-158.79236521382904,200,-0.4472728476000504,0.04633913859420834,
